State,City,Median Income
Alaska,Atka,21875
Alaska,Chase,-666666666
Alaska,Chalkyitsik,20125
Alaska,Central,15938
Alaska,Cantwell,35139
Alaska,Butte,30120
Alaska,Buffalo Soapstone,28021
Alaska,Buckland,8810
Alaska,Birch Creek,-666666666
Alaska,Big Lake,22289
Alaska,Big Delta,39453
Alaska,Bettles,33750
Alaska,Bethel,34455
Alaska,Beluga,-666666666
Alaska,Beaver,13000
Alaska,Bear Creek,41278
Alaska,Badger,39578
Alaska,Attu Station,-666666666
Alaska,Atqasuk,22000
Alaska,Atmautluak,11500
Alaska,Chena Ridge,52981
Alaska,Elfin Cove,-666666666
Alaska,Brevig Mission,8553
Alaska,Emmonak,13063
Alaska,Kasilof,40072
Alaska,Kasigluk,8200
Alaska,Kasaan,27250
Alaska,Karluk,19250
Alaska,Kaltag,17500
Alaska,Kalifornsky,40895
Alaska,Kaktovik,24688
Alaska,Kake,16058
Alaska,Kenai,30135
Alaska,Kachemak,31023
Alaska,Ivanof Bay,-666666666
Alaska,Iliamna,36667
Alaska,Igiugig,27500
Alaska,Hyder,-666666666
Alaska,Hydaburg,16625
Alaska,Huslia,14808
Alaska,Hughes,11250
Alaska,Houston,19260
Alaska,Juneau city and borough,43431
Alaska,Kenny Lake,-666666666
Alaska,Ketchikan,30705
Alaska,Kiana,11667
Alaska,Kupreanof,-666666666
Alaska,Elim,15781
Alaska,Koyukuk,15250
Alaska,Koyuk,16875
Alaska,Kotzebue,32108
Alaska,Kotlik,8668
Alaska,Kongiganak,11823
Alaska,Koliganek,19318
Alaska,Kokhanok,13875
Alaska,Kodiak Station,34107
Alaska,Kodiak,27363
Alaska,Kobuk,14750
Alaska,Knik River,30787
Alaska,Knik-Fairview,34631
Alaska,Klukwan,18750
Alaska,Klawock,21694
Alaska,Kivalina,13194
Alaska,Kipnuk,10052
Alaska,King Cove,26380
Alaska,Hope,-666666666
Alaska,Hooper Bay,6056
Alaska,King Salmon,43182
Alaska,Homer,30993
Alaska,Funny River,14550
Alaska,Fritz Creek,30826
Alaska,Fox River,14485
Alaska,Fox,39205
Alaska,Four Mile Road,-666666666
Alaska,Fort Yukon,19813
Alaska,Fort Greely,35469
Alaska,Fishhook,36340
Alaska,Gakona,13698
Alaska,Ferry,-666666666
Alaska,Farmers Loop,35826
Alaska,False Pass,51250
Alaska,Fairbanks,30643
Alaska,Excursion Inlet,-666666666
Alaska,Evansville,83125
Alaska,Hoonah,23047
Alaska,Ester,29747
Alaska,Eureka Roadhouse,-666666666
Alaska,Farm Loop,37500
Alaska,Galena,26375
Alaska,Flat,-666666666
Alaska,Holy Cross,12679
Alaska,Harding-Birch Lakes,38690
Alaska,Happy Valley,18952
Alaska,Hollis,16786
Alaska,Halibut Cove,47222
Alaska,Haines,37746
Alaska,Gustavus,41042
Alaska,Gambell,10370
Alaska,Gulkana,25500
Alaska,Grayling,10139
Alaska,Goodnews Bay,15192
Alaska,Golovin,20000
Alaska,Goldstream,49465
Alaska,Glennallen,50000
Alaska,Glacier View,21923
Alaska,Hobart Bay,-666666666
Alaska,Gateway,37328
Alaska,Game Creek,-666666666
Alaska,Healy,32625
Alaska,Healy Lake,-666666666
Arizona,Rock Point,16563
Arizona,Rock House,15625
Arizona,Roosevelt,19375
Arizona,Rough Rock,20114
Arizona,Quartzsite,16512
Arizona,Round Valley,21250
Arizona,Rye,13083
Arizona,Rio Verde,43714
Arizona,Sacaton,18864
Arizona,Sacaton Flats Village,11707
Arizona,Round Rock,15912
Arizona,Sacate Village,15227
Arizona,Rancho Mesa Verde,13333
Arizona,Rincon Valley,47500
Arizona,Rillito,-666666666
Arizona,Red Rock CDP (Pinal County),34402
Arizona,Red Rock CDP (Apache County),14375
Arizona,Red Mesa,20313
Arizona,Rainbow City,20602
Arizona,Queen Valley,-666666666
Arizona,Prescott Valley,25315
Arizona,Saddlebrooke,35863
Arizona,Queen Creek,42445
Arizona,Rio Rico,24904
Arizona,Safford,26527
Arizona,Seba Dalkai,13750
Arizona,St. David,21949
Arizona,Seven Mile,17708
Arizona,Shongopovi,19154
Arizona,Prescott,27485
Arizona,Sells,18306
Arizona,Seligman,37723
Arizona,Sehili,9226
Arizona,Sedona,31990
Arizona,Second Mesa,17351
Arizona,Scottsdale,44770
Arizona,Scenic,19575
Arizona,Sawmill,15273
Arizona,Santa Rosa,12500
Arizona,San Tan Valley,31351
Arizona,Santa Cruz,-666666666
